Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
98,Vanadium,50.941,6.1,77,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,719.91,35995.5
99,Vanadium,50.941,6.1,190,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,490.876,24543.8
100,Vanadium,50.941,6.1,296,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,447.812,22390.6
101,Vanadium,50.941,6.1,400,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,389.71,19485.5
102,Vanadium,50.941,6.1,500,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,317.383,15869.15
103,Vanadium,50.941,6.1,600,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,279.928,13996.4
104,Vanadium,50.941,6.1,800,2183,2500,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,212.533,10626.65
105,Vanadium,50.941,6.1,296,2183,8000,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,532.732,26636.6
106,Vanadium,50.941,6.1,400,2183,8000,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,444.833,22241.65
107,Vanadium,50.941,6.1,500,2183,8000,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,340.279,17013.95
108,Vanadium,50.941,6.1,700,2183,8000,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,284.33,14216.499
109,Copper,63.543,8.96,77,1358,4000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,205.607,10280.35
110,Copper,63.543,8.96,296,1358,4000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,159.703,7985.15
111,Copper,63.543,8.96,596,1358,4000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,139.567,6978.35
112,Copper,63.543,8.96,896,1358,4000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,100.505,5025.25
113,Copper,63.543,8.96,1096,1358,4000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,90.236,4511.8
114,Magnesium,24.305,1.738,298,923.2,1000,1.02,0,0,1,3.209,3.209,5.21,90,90,120,20,143.846,7192.3
115,Magnesium,24.305,1.738,298,923.2,2000,1.02,0,0,1,3.209,3.209,5.21,90,90,120,20,152.631,7631.55
116,Magnesium,24.305,1.738,298,923.2,3600,1.02,0,0,1,3.209,3.209,5.21,90,90,120,20,133.548,6677.4
117,Magnesium,24.305,1.738,298,923.2,800,1.02,0,0,1,3.209,3.209,5.21,90,90,120,20,157.359,767.95
118,Magnesium,24.305,1.738,298,923.2,0.001,1.02,0,0,1,3.209,3.209,5.21,90,90,120,20,133.98,6698.999
118,Lead,207.2,10.678,298,600.5,3190,0.128,1,0,0,4.95,4.95,4.95,90,90,90,12.312,19.718,985.849
119,Lead,207.2,10.678,298,600.5,3330,0.128,1,0,0,4.95,4.95,4.95,90,90,90,12.312,18.37,918.5
120,Lead,207.2,10.678,298,600.5,3860,0.128,1,0,0,4.95,4.95,4.95,90,90,90,12.312,22.506,1125.3
121,Lead,207.2,10.678,298,600.5,3910,0.128,1,0,0,4.95,4.95,4.95,90,90,90,12.312,23.445,1172.25
122,Lead,207.2,10.678,298,600.5,4739,0.128,1,0,0,4.95,4.95,4.95,90,90,90,12.312,14.176,708.8
123,Lead,207.2,10.678,298,600.5,5010,0.128,1,0,0,4.95,4.95,4.95,90,90,90,12.312,16.757,837.85
124,Vanadium,50.941,6.1,190,2183,0.001,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,295.651,14782.55
125,Vanadium,50.941,6.1,700,2183,0.001,0.49,1,0,0,3.03,3.03,3.03,90,90,90,100,137.636,6881.799
